List of Designated Securities Eligible for Short Selling,
Effective date : 11/03/2019,
Note : Delisted securities excluded,

No.,Stock Code,Stock Short Name,Currency,Type,Exempt from Tick Rule,Remarks
230,729,FDG EVEHICLES,HKD,EQTY,,,
231,732,TRULY INT'L,HKD,EQTY,,,
232,735,CP CLEAN ENERGY,HKD,EQTY,,,
233,737,HOPEWELL INFR,HKD,EQTY,,,
234,743,ASIA CEMENT CH,HKD,EQTY,,,
235,751,SKYWORTHDIGITAL,HKD,EQTY,,,
236,752,PICO FAR EAST,HKD,EQTY,,,
237,753,AIR CHINA,HKD,EQTY,,,
238,754,HOPSON DEV HOLD,HKD,EQTY,,,
239,755,SHANGHAI ZENDAI,HKD,EQTY,,,
240,762,CHINA UNICOM,HKD,EQTY,,,
241,763,ZTE,HKD,EQTY,,,
242,772,CHINA LIT,HKD,EQTY,,,
243,777,NETDRAGON,HKD,EQTY,,,
244,778,FORTUNE REIT,HKD,TRST,,,
245,787,GLOBAL BRANDS,HKD,EQTY,,,
246,788,CHINA TOWER,HKD,EQTY,,,
247,799,IGG,HKD,EQTY,,,
248,806,VALUE PARTNERS,HKD,EQTY,,,
249,807,SIICENVIRONMENT,HKD,EQTY,,,
250,808,PROSPERITY REIT,HKD,TRST,,,
251,811,XINHUA WINSHARE,HKD,EQTY,,,
252,813,SHIMAO PROPERTY,HKD,EQTY,,,
253,816,HUADIAN FUXIN,HKD,EQTY,,,
254,817,CHINA JINMAO,HKD,EQTY,,,
255,818,HI SUN TECH,HKD,EQTY,,,
256,819,TIANNENG POWER,HKD,EQTY,,,
257,823,LINK REIT,HKD,TRST,,,
258,826,TIANGONG INT'L,HKD,EQTY,,,
259,831,CR ASIA,HKD,EQTY,,,
260,832,CENTRAL CHINA,HKD,EQTY,,,
261,836,CHINA RES POWER,HKD,EQTY,,,
262,839,CHINA EDU GROUP,HKD,EQTY,,,
263,853,MICROPORT,HKD,EQTY,,,
264,855,CHINA WATER,HKD,EQTY,,,
265,856,VSTECS,HKD,EQTY,,,
266,857,PETROCHINA,HKD,EQTY,,,
267,860,WE SOLUTIONS,HKD,EQTY,,,
268,861,DC HOLDINGS,HKD,EQTY,,,
269,867,CMS,HKD,EQTY,,,
270,868,XINYI GLASS,HKD,EQTY,,,
271,874,BAIYUNSHAN PH,HKD,EQTY,,,
272,877,O-NET TECH GP,HKD,EQTY,,,
273,880,SJM HOLDINGS,HKD,EQTY,,,
274,881,ZHONGSHENG HLDG,HKD,EQTY,,,
275,882,TIANJIN DEV,HKD,EQTY,,,
276,883,CNOOC,HKD,EQTY,,,
277,884,CIFI HOLD GP,HKD,EQTY,,,
278,895,DONGJIANG ENV,HKD,EQTY,,,
279,902,HUANENG POWER,HKD,EQTY,,,
280,906,COFCO PACKAGING,HKD,EQTY,,,
281,914,CONCH CEMENT,HKD,EQTY,,,
282,916,CHINA LONGYUAN,HKD,EQTY,,,
283,921,HISENSE HA,HKD,EQTY,,,
284,931,CHINA LNG,HKD,EQTY,,,
285,934,SINOPEC KANTONS,HKD,EQTY,,,
286,939,CCB,HKD,EQTY,,,
287,941,CHINA MOBILE,HKD,EQTY,,,
288,950,LEE'S PHARM,HKD,EQTY,,,
289,951,CHAOWEI POWER,HKD,EQTY,,,
290,956,CHINA SUNTIEN,HKD,EQTY,,,
291,958,HN RENEWABLES,HKD,EQTY,,,
292,960,LONGFOR GROUP,HKD,EQTY,,,
293,966,CHINA TAIPING,HKD,EQTY,,,
294,968,XINYI SOLAR,HKD,EQTY,,,
295,973,L'OCCITANE,HKD,EQTY,,,
296,976,CHIHO ENV,HKD,EQTY,,,
297,978,CHI MER LAND,HKD,EQTY,,,
298,981,SMIC,HKD,EQTY,,,
299,989,GROUND INTL DEV,HKD,EQTY,,,
300,991,DATANG POWER,HKD,EQTY,,,
301,992,LENOVO GROUP,HKD,EQTY,,,
302,995,ANHUIEXPRESSWAY,HKD,EQTY,,,
303,996,CARNIVAL GROUP,HKD,EQTY,,,
304,998,CITIC BANK,HKD,EQTY,,,
305,999,I.T,HKD,EQTY,,,
306,1003,HUANXI MEDIA,HKD,EQTY,,,
307,1004,C SMARTERENERGY,HKD,EQTY,,,
308,1030,FUTURE LAND,HKD,EQTY,,,
309,1031,KINGSTON FIN,HKD,EQTY,,,
310,1033,SINOPEC SSC,HKD,EQTY,,,
311,1038,CKI HOLDINGS,HKD,EQTY,,,
312,1044,HENGAN INT'L,HKD,EQTY,,,
313,1051,G-RESOURCES,HKD,EQTY,,,
314,1052,YUEXIUTRANSPORT,HKD,EQTY,,,
315,1055,CHINA SOUTH AIR,HKD,EQTY,,,
316,1060,ALI PICTURES,HKD,EQTY,,,
317,1061,ESSEX BIO-TECH,HKD,EQTY,,,
318,1066,WEIGAO GROUP,HKD,EQTY,,,
319,1070,TCL ELECTRONICS,HKD,EQTY,,,
320,1071,HUADIAN POWER,HKD,EQTY,,,
321,1072,DONGFANG ELEC,HKD,EQTY,,,
322,1076,IMPERIAL PAC,HKD,EQTY,,,
323,1083,TOWNGAS CHINA,HKD,EQTY,,,
324,1086,GOODBABY INTL,HKD,EQTY,,,
325,1088,CHINA SHENHUA,HKD,EQTY,,,
326,1089,LEYOU TECH H,HKD,EQTY,,,
327,1093,CSPC PHARMA,HKD,EQTY,,,
328,1098,ROAD KING INFRA,HKD,EQTY,,,
329,1099,SINOPHARM,HKD,EQTY,,,
